UID,Title,Artists,Publication Date,Price ($),Quantity,Description,Genres,Sold,Reviews,Album,Duration
20000000,Beggin',Måneskin,"October 15, 2021",$14.99,50,Energetic rock cover that brought Måneskin global fame with powerful vocals and gritty guitars.,"Blues, Reggae",123,15;22;38;3;7;10;46;50;27;34;17;9;,Chosen,3:31
20000001,Est-ce que tu m'aimes,GIMS,"April 20, 2015",$12.99,40,Romantic French rap/pop hit blending urban beats with heartfelt lyrics.,"Jazz, Pop",234,12;25;6;41;30;1;44;28;18;32;23;49;40;,Mon cœur avait raison,3:56
20000002,Headlock,Imogen Heap,"January 1, 2009",$13.50,30,Atmospheric electronic song with layered vocals and haunting melodies.,"Rock, Electronic",178,2;14;19;36;10;26;3;8;47;50;12;33;5;,Ellipse,4:00
20000003,Jar Of Love,Wanting,"July 10, 2012",$14.50,45,"Soft pop ballad with Asian influences, expressing emotional depth and longing.","Soul, HipHop",356,7;20;13;31;39;4;46;22;26;16;2;30;,Say The Words,3:45
20000004,Love Story,Indila,"May 27, 2014",$15.00,60,Melodic French pop song with rich orchestration and poetic lyrics.,"Country, Folk",286,21;44;17;8;5;11;29;37;25;13;45;20;3;,Mini World,3:55
20000005,Luther,"Kendrick Lamar, SZA","March 3, 2017",$16.00,20,Smooth R&B collaboration with soulful vocals and insightful lyrics.,"RnB, Classical",164,18;1;49;9;23;38;36;14;12;30;50;,DAMN,2:20
20000006,Sunflower,"Post Malone, Swae Lee","October 18, 2018",$13.99,100,Catchy hip-hop/pop hit from Spider-Man: Into the Spider-Verse soundtrack.,"Rap, Reggae",277,19;3;32;15;7;47;26;1;28;39;4;22;,Hollywood's Bleeding,2:41
20000007,Suzume,"RADWIMPS, Toaka","November 11, 2022",$17.00,50,"Emotional rock ballad from the anime movie Suzume no Tojimari, featuring intricate instrumentation.","Soundtrack, Instrumental",292,5;17;8;35;41;3;9;24;29;18;44;13;1;,Suzume no Tojimari OST,4:20
20000008,PS5,Salem Ilese,"March 1, 2023",$19.99,25,"Energetic pop song with catchy hooks, often associated with gaming and youth culture.","Electronic, Jazz",308,30;14;4;7;16;2;21;50;11;8;47;31;,Fearless,3:00
20000009,Stay the Night,"Just Kiddin, Camden Cox","August 15, 2014",$12.00,80,Uplifting dance/electronic track with smooth production and memorable melodies.,"Pop, Latin",323,6;39;26;10;18;7;35;3;41;24;13;30;,Stay The Night EP,3:30
20000010,679,"Fetty Wap, Remy Boyz","August 4, 2015",$14.00,40,Hip-hop single known for its melodic hooks and catchy rhythms.,"HipHop, Blues",339,9;1;23;37;14;40;6;12;26;19;,Fetty Wap,3:41
